
 num     #instances         #bytes  class name
 431:             1             24  java.util.regex.Pattern$Start
 432:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$15
 433:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$16
 434:             1             24  java.util.Locale$Cache
 435:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$17
 436:             1             24  javax.management.NotificationBroadcasterSupport
 437:             1             24  com.sun.jmx.mbeanserver.MXBeanLookup
 438:             1             24  sun.nio.cs.ThreadLocalCoders$1
 439:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$18
 440:             1             24  java.lang.StringBuilder
 441:             1             24  java.util.concurrent.locks.ReentrantReadWriteLock
 442:             1             24  sun.nio.cs.ThreadLocalCoders$2
 443:             1             24  java.util.Currency
 444:             1             24  java.util.Collections$EmptyMap
 445:             1             24  sun.util.locale.BaseLocale$Cache
 446:             1             24  sun.nio.fs.NativeBuffer$Deallocator
 447:             1             24  com.sun.management.UnixOperatingSystem
 448:             1             24  sun.management.CompilationImpl
 449:             1             24  com.sun.jmx.remote.util.ClassLogger
 450:             1             24  java.sql.SQLPermission
 451:             1             24  java.net.Proxy
 452:             1             24  java.util.ResourceBundle$Control$CandidateListCache
 453:             1             24  java.beans.PropertyChangeSupport
 454:             1             24  [Ljava.net.InetAddress$Cache$Type;
 455:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$1
 456:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$2
 457:             1             24  sun.management.RuntimeImpl
 458:             1             24  org.ucsd.db.fastview.datamodel.CntTable
 459:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$3
 460:             1             24  sun.nio.cs.UTF_8
 461:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$4
 462:             1             24  java.net.Inet6AddressImpl
 463:             1             24  sun.net.sdp.SdpProvider
 464:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$5
 465:             1             24  sun.nio.cs.US_ASCII
 466:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$6
 467:             1             24  java.lang.reflect.ReflectPermission
 468:             1             24  sun.jdbc.odbc.JdbcOdbcDriver
 469:             1             24  sun.nio.cs.ISO_8859_1
 470:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$7
 471:             1             24  sun.nio.cs.UTF_16BE
 472:             1             24  java.util.regex.Pattern$CharProperty$1
 473:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$8
 474:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$9
 475:             1             24  sun.nio.cs.UTF_16LE
 476:             1             24  sun.management.VMManagementImpl
 477:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$10
 478:             1             24  sun.nio.cs.UTF_16
 479:             1             24  com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport
 480:             1             24  java.util.Collections$SetFromMap
 481:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$1
 482:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$11
 483:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$2
 484:             1             24  java.util.logging.LogManager$LoggerContext
